,query,pred
0,1632,0
2,1862,0
8,1933,1
14,1954,0
15,1955,0
18,1959,0
20,1971,0
23,1988,1
24,1990,1
27,'Two Towers' Sets,0
29,• Albert Sabin,1
30,+essays +Macbeth +Blood,0
31,+richard lamm +colorado,1
42,1967 Daytona 500,0
43,1971 events,1
46,1981 ali's last fight,0
48,1983 Calendar,1
49,1983 oscar for best song,1
51,1984 calendar,1
52,1984 cyndi lauper hit,0
53,1984 cyndi lauper song,0
56,1988 dakota shelby,0
59,1993 NASCAR Rookie of the Year,1
61,1998*lipinski,1
63,1999 STEPHEN KING NOVELS,1
66,2 player boxes from dots,1
69,2004 mtv music,1
70,2005 mtv movie award videos Jimmy Fallon,0
71,2PAC SHAKUR ,1
73,4 weddings and a funeral,1
76,5 burrows of new york city,1
77,50 cent,0
80,7 habits of highly effective people,0
84,A Chorus Line,0
85,a colombian poet,1
88,a list of all of michael jackson's music video,0
95,A Separate Peace themes,1
96,a song for you donny hathaway,1
97,A Study in Scarlet,1
105,aaron Brown,1
106,aaron burr,0
109,aaron russo,0
112,abbreviation rpa,1
113,ABC Family/ Gilmore Girls,0
114,ABC GENERAL HOSPITAL TIME LINE,1
117,Abigail and Brittany Hensel,0
118,abner doubleday,0
121,About George Fox,1
124,about Maynard Ferguson,1
127,abraham kuyper,1
129,Abraham Lincoln 1861.,0
131,Abraham Lincoln middle years,1
132,abraham Lincoln wikipedia,0
135,abram,0
140,Achebe's poems,1
143,Actor Charles Bronson,0
144,Actor David Janssen,0
145,Actors Alexis Bledel And Milo Ventimiglia Dating,0
148,actress kirshner,0
149,actress negri,0
150,Acts of the apostles,0
152,ADAM COPELAND,0
153,adam levine,0
155,adam sandler and wife,0
156,Adam Sandler's Movie Click,0
162,ADAMS REVOLVER,1
163,adenauer,0
164,ADINA HOWARD,1
168,adolf hitler short biography,0
173,adrianne curry wedding,0
174,Adrienne Barbeau,0
176,adrienne rich,0
178,Afghanistan in 2001 and detained,1
182,afton smith,0
183,Agatha Christie,0
184,Agatha Christie+books published,0
185,age limit for american idol 2006 auditions,1
189,ages for Generation X,0
193,Akhenaten,0
198,al gore pictures 2000,0
202,al pacino,0
208,alan moore batman,0
209,Alan Moore comic book covers,1
